"granularity","RX_position","TX_position","total_packets","csi_packets_used","Processing_time","memory_usage(GB)","true_phi","true_theta","top_aoa_phi","top_aoa_theta","top_aoa_confidence","top_aoa_total_error","top_aoa_error_phi","top_aoa_error_theta","closest_aoa_phi","closest_aoa_theta","closest_aoa_confidence","closest_aoa_total_error","closest_aoa_phi_error","closest_theta_error"
"360x180","P0","P1",930,814.00,4.89,12.57,177.57,73.74       ,173.98,113.63,40.00,40.05,3.59,-39.89,    177.99,105.59,30.17,-0.42,-0.42,-31.84
"360x180","P0","P1",965,751.00,4.49,12.57,177.23,74.59       ,172.98,64.36,38.77,11.08,4.25,10.23,    176.99,72.40,27.57,0.24,0.24,2.18
"360x180","P0","P1",965,739.00,4.42,12.57,177.34,74.58       ,171.98,63.35,37.64,12.44,5.36,11.23,    175.99,71.40,27.13,1.35,1.35,3.18
"360x180","P0","P1",965,745.00,4.51,12.57,177.28,74.56       ,172.98,64.36,39.79,11.07,4.30,10.20,    176.99,72.40,28.45,0.29,0.29,2.16
"360x180","P0","P1",965,762.00,4.62,12.57,177.29,74.64       ,170.97,62.35,33.92,13.82,6.31,12.30,    175.99,70.39,24.24,1.30,1.30,4.25
"360x180","P0","P2",965,743.00,4.43,11.72,134.86,78.44       ,134.87,76.42,25.85,2.01,-0.01,2.01,    134.87,76.42,25.85,-0.01,-0.01,2.01
"360x180","P0","P2",983,710.00,4.25,11.72,134.92,78.44       ,131.87,78.44,18.43,3.05,3.05,0.00,    135.88,100.56,14.22,-0.96,-0.96,-22.12
"360x180","P0","P2",965,721.00,4.34,11.72,134.71,78.42       ,134.87,76.42,31.26,2.00,-0.16,2.00,    134.87,76.42,31.26,-0.16,-0.16,2.00
"360x180","P0","P2",965,730.00,4.37,11.85,134.92,78.41       ,133.87,101.56,24.52,23.18,1.05,-23.16,    133.87,101.56,24.52,1.05,1.05,-23.16
"360x180","P0","P2",965,729.00,4.40,11.93,134.84,78.43       ,134.87,76.42,28.48,2.01,-0.04,2.01,    134.87,76.42,28.48,-0.04,-0.04,2.01
"360x180","P0","P3",983,731.00,4.37,11.57,154.29,81.60       ,154.93,81.45,42.36,0.65,-0.64,0.14,    154.93,81.45,42.36,-0.64,-0.64,0.14
"360x180","P0","P3",965,760.00,4.54,12.02,154.19,81.59       ,154.93,98.55,35.75,16.98,-0.74,-16.96,    154.93,98.55,35.75,-0.74,-0.74,-16.96
"360x180","P0","P3",965,776.00,4.65,12.31,154.13,81.57       ,154.93,80.45,38.15,1.38,-0.80,1.12,    154.93,80.45,38.15,-0.80,-0.80,1.12
"360x180","P0","P3",965,749.00,4.52,12.31,154.18,81.56       ,154.93,79.44,37.99,2.25,-0.75,2.12,    154.93,79.44,37.99,-0.75,-0.75,2.12
"360x180","P0","P3",965,781.00,4.71,12.56,154.11,81.56       ,154.93,79.44,37.90,2.27,-0.82,2.12,    154.93,79.44,37.90,-0.82,-0.82,2.12
"360x180","P0","P4",894,824.00,4.91,12.69,176.51,80.88       ,175.99,110.61,28.07,29.74,0.52,-29.74,    175.99,110.61,28.07,0.52,0.52,-29.74
"360x180","P0","P4",965,791.00,4.72,12.69,176.41,80.88       ,175.99,69.39,34.43,11.50,0.42,11.50,    175.99,69.39,34.43,0.42,0.42,11.50
"360x180","P0","P4",983,825.00,4.93,12.90,176.33,80.86       ,174.99,67.37,30.80,13.55,1.34,13.49,    174.99,67.37,30.80,1.34,1.34,13.49
"360x180","P0","P4",983,828.00,4.96,13.03,176.33,80.84       ,174.99,67.37,28.23,13.53,1.34,13.47,    174.99,67.37,28.23,1.34,1.34,13.47
"360x180","P0","P4",983,823.00,4.97,13.07,176.26,80.84       ,174.99,111.62,28.59,30.81,1.27,-30.78,    176.99,73.41,22.13,-0.74,-0.74,7.43
"360x180","P0","P5",983,754.00,4.53,11.85,-157.40,77.98       ,-152.92,114.64,12.31,36.93,-4.47,-36.65,    -156.94,125.70,9.53,-0.46,-0.46,-47.72
"360x180","P0","P5",965,784.00,4.71,12.31,-157.43,77.98       ,-157.94,68.38,13.91,9.61,0.51,9.60,    -157.94,68.38,13.91,0.51,0.51,9.60
"360x180","P0","P5",983,789.00,4.72,12.47,-157.42,77.91       ,-156.94,74.41,16.03,3.53,-0.48,3.50,    -156.94,74.41,16.03,-0.48,-0.48,3.50
"360x180","P0","P5",965,813.00,4.86,12.86,-157.38,77.94       ,-163.96,57.32,15.68,21.65,6.58,20.62,    -158.94,69.39,12.01,1.56,1.56,8.56
"360x180","P0","P5",965,830.00,4.99,13.16,-157.34,77.95       ,-159.94,62.35,14.23,15.82,2.61,15.61,    -155.93,73.41,10.99,-1.40,-1.40,4.55
"360x180","P0","P6",965,771.00,4.63,12.06,-92.66,73.32       ,-88.75,123.69,30.89,50.52,-3.91,-50.37,    -91.75,64.36,23.88,-0.91,-0.91,8.96
"360x180","P0","P6",965,713.00,4.29,12.06,-93.18,73.57       ,-91.75,121.68,25.38,48.12,-1.42,-48.10,    -93.76,110.61,19.60,0.58,0.58,-37.04
"360x180","P0","P6",983,722.00,4.35,12.06,-92.73,73.37       ,-89.75,121.68,32.74,48.40,-2.98,-48.31,    -92.76,112.63,25.06,0.02,0.02,-39.26
"360x180","P0","P6",983,732.00,4.44,12.06,-93.00,73.42       ,-86.74,51.28,30.44,23.00,-6.26,22.14,    -90.75,60.34,22.82,-2.25,-2.25,13.09
"360x180","P0","P6",965,677.00,4.08,12.06,-92.84,73.45       ,-87.74,53.30,30.80,20.79,-5.10,20.15,    -91.75,121.68,23.82,-1.09,-1.09,-48.23
"360x180","P0","P7",965,757.00,4.53,11.89,-44.84,78.14       ,-44.62,104.58,21.17,26.45,-0.22,-26.45,    -44.62,104.58,21.17,-0.22,-0.22,-26.45
"360x180","P0","P7",983,753.00,4.52,11.93,-44.67,78.13       ,-43.62,102.57,26.30,24.46,-1.05,-24.44,    -43.62,102.57,26.30,-1.05,-1.05,-24.44
"360x180","P0","P7",965,755.00,4.54,12.05,-44.63,78.16       ,-44.62,102.57,27.44,24.41,-0.00,-24.41,    -44.62,102.57,27.44,-0.00,-0.00,-24.41
"360x180","P0","P7",983,775.00,4.64,12.40,-44.73,78.17       ,-43.62,103.58,24.93,25.43,-1.11,-25.41,    -43.62,103.58,24.93,-1.11,-1.11,-25.41
"360x180","P0","P7",965,795.00,4.77,12.73,-44.71,78.17       ,-43.62,103.58,25.28,25.43,-1.09,-25.41,    -43.62,103.58,25.28,-1.09,-1.09,-25.41
"360x180","P0","P8",965,828.00,5.03,12.75,5.57,72.72       ,-2.51,71.40,22.34,8.18,8.07,1.32,    2.51,100.56,17.02,3.06,3.06,-27.84
"360x180","P0","P8",965,828.00,5.04,12.84,5.59,72.90       ,1.50,79.44,18.61,7.71,4.08,-6.54,    1.50,79.44,18.61,4.08,4.08,-6.54
"360x180","P0","P8",965,829.00,5.03,12.95,5.61,72.92       ,1.50,81.45,21.00,9.47,4.10,-8.53,    3.51,91.51,16.25,2.10,2.10,-18.59
"360x180","P0","P8",983,828.00,5.04,13.04,5.57,72.87       ,0.50,105.59,16.93,33.11,5.07,-32.72,    1.50,92.51,13.06,4.07,4.07,-19.65
"360x180","P0","P8",965,825.00,5.03,13.10,5.37,72.82       ,-2.51,70.39,24.93,8.24,7.87,2.43,    2.51,96.54,19.22,2.86,2.86,-23.72
"360x180","P0","P9",983,749.00,4.51,11.79,49.71,78.07       ,49.64,86.48,11.33,8.41,0.08,-8.41,    49.64,86.48,11.33,0.08,0.08,-8.41
"360x180","P0","P9",965,767.00,4.60,12.10,49.34,78.16       ,65.68,123.69,7.40,48.37,-16.34,-45.53,    64.68,64.36,5.73,-15.34,-15.34,13.80
"360x180","P0","P9",965,763.00,4.60,12.15,49.81,78.10       ,55.65,81.45,11.95,6.74,-5.85,-3.35,    55.65,81.45,11.95,-5.85,-5.85,-3.35
"360x180","P0","P9",983,765.00,4.62,12.27,49.26,78.10       ,49.64,83.46,12.30,5.38,-0.38,-5.37,    49.64,83.46,12.30,-0.38,-0.38,-5.37
"360x180","P0","P9",965,763.00,4.61,12.35,49.74,78.08       ,55.65,72.40,10.40,8.20,-5.92,5.68,    49.64,100.56,8.04,0.10,0.10,-22.48
"360x180","P0","P10",983,749.00,4.51,11.79,49.71,78.07       ,49.64,86.48,11.33,8.41,0.08,-8.41,    49.64,86.48,11.33,0.08,0.08,-8.41
"360x180","P0","P10",965,767.00,4.60,12.10,49.34,78.16       ,65.68,123.69,7.40,48.37,-16.34,-45.53,    64.68,64.36,5.73,-15.34,-15.34,13.80
"360x180","P0","P10",965,763.00,4.60,12.15,49.81,78.10       ,55.65,81.45,11.95,6.74,-5.85,-3.35,    55.65,81.45,11.95,-5.85,-5.85,-3.35
"360x180","P0","P10",983,765.00,4.62,12.27,49.26,78.10       ,49.64,83.46,12.30,5.38,-0.38,-5.37,    49.64,83.46,12.30,-0.38,-0.38,-5.37
"360x180","P0","P10",965,763.00,4.61,12.35,49.74,78.08       ,55.65,72.40,10.40,8.20,-5.92,5.68,    49.64,100.56,8.04,0.10,0.10,-22.48
"180x90","P0","P1",930,814.00,1.23,3.44,177.57,73.74       ,173.97,113.26,39.38,39.68,3.60,-39.51,    -180.00,97.08,18.57,-2.43,-2.43,-23.33
"180x90","P0","P1",965,751.00,1.15,3.44,177.23,74.59       ,171.96,115.28,38.48,41.03,5.28,-40.69,    175.98,70.79,29.77,1.25,1.25,3.80
"180x90","P0","P1",965,739.00,1.12,3.44,177.34,74.58       ,171.96,115.28,37.57,41.06,5.38,-40.70,    175.98,70.79,28.51,1.36,1.36,3.79
"180x90","P0","P1",965,745.00,1.13,3.53,177.28,74.56       ,171.96,62.70,39.16,13.00,5.32,11.86,    177.99,78.88,17.76,-0.71,-0.71,-4.32
"180x90","P0","P1",965,762.00,1.15,3.67,177.29,74.64       ,171.96,115.28,33.64,40.99,5.33,-40.64,    177.99,76.85,14.56,-0.70,-0.70,-2.21
"180x90","P0","P2",965,743.00,1.14,3.23,134.86,78.44       ,133.74,76.85,25.92,1.94,1.12,1.58,    133.74,76.85,25.92,1.12,1.12,1.58
"180x90","P0","P2",983,710.00,1.10,3.23,134.92,78.44       ,131.73,78.88,18.43,3.21,3.18,-0.44,    131.73,78.88,18.43,3.18,3.18,-0.44
"180x90","P0","P2",965,721.00,1.11,3.36,134.71,78.42       ,133.74,76.85,31.12,1.84,0.97,1.57,    133.74,76.85,31.12,0.97,0.97,1.57
"180x90","P0","P2",965,730.00,1.12,3.48,134.92,78.41       ,133.74,76.85,24.64,1.95,1.17,1.55,    133.74,76.85,24.64,1.17,1.17,1.55
"180x90","P0","P2",965,729.00,1.12,3.58,134.84,78.43       ,133.74,76.85,28.21,1.92,1.10,1.58,    133.74,76.85,28.21,1.10,1.10,1.58
"180x90","P0","P3",983,731.00,1.12,3.20,154.29,81.60       ,155.87,82.92,41.93,2.06,-1.57,-1.32,    155.87,82.92,41.93,-1.57,-1.57,-1.32
"180x90","P0","P3",965,760.00,1.16,3.38,154.19,81.59       ,153.85,99.10,35.47,17.52,0.33,-17.52,    153.85,99.10,35.47,0.33,0.33,-17.52
"180x90","P0","P3",965,776.00,1.18,3.53,154.13,81.57       ,155.87,80.90,37.96,1.86,-1.74,0.67,    155.87,80.90,37.96,-1.74,-1.74,0.67
"180x90","P0","P3",965,749.00,1.14,3.54,154.18,81.56       ,155.87,80.90,37.63,1.82,-1.69,0.67,    155.87,80.90,37.63,-1.69,-1.69,0.67
"180x90","P0","P3",965,781.00,1.19,3.74,154.11,81.56       ,155.87,80.90,37.44,1.88,-1.76,0.66,    155.87,80.90,37.44,-1.76,-1.76,0.66
"180x90","P0","P4",894,824.00,1.26,3.47,176.51,80.88       ,175.98,68.76,27.32,12.13,0.53,12.11,    175.98,68.76,27.32,0.53,0.53,12.11
"180x90","P0","P4",965,791.00,1.20,3.47,176.41,80.88       ,175.98,68.76,33.81,12.13,0.43,12.12,    175.98,68.76,33.81,0.43,0.43,12.12
"180x90","P0","P4",983,825.00,1.26,3.67,176.33,80.86       ,175.98,68.76,29.98,12.10,0.35,12.10,    175.98,68.76,29.98,0.35,0.35,12.10
"180x90","P0","P4",983,828.00,1.26,3.78,176.33,80.84       ,175.98,68.76,27.29,12.08,0.35,12.08,    175.98,68.76,27.29,0.35,0.35,12.08
"180x90","P0","P4",983,823.00,1.25,3.86,176.26,80.84       ,175.98,68.76,28.20,12.08,0.28,12.08,    175.98,68.76,28.20,0.28,0.28,12.08
"180x90","P0","P5",983,754.00,1.15,3.27,-157.40,77.98       ,-153.85,117.30,12.10,39.48,-3.54,-39.32,    -157.88,66.74,9.26,0.48,0.48,11.24
"180x90","P0","P5",965,784.00,1.19,3.46,-157.43,77.98       ,-157.88,68.76,13.88,9.22,0.45,9.21,    -157.88,68.76,13.88,0.45,0.45,9.21
"180x90","P0","P5",983,789.00,1.20,3.57,-157.42,77.91       ,-157.88,70.79,15.97,7.14,0.46,7.13,    -157.88,70.79,15.97,0.46,0.46,7.13
"180x90","P0","P5",965,813.00,1.25,3.74,-157.38,77.94       ,-163.91,56.63,15.48,22.29,6.53,21.31,    -155.87,78.88,11.13,-1.51,-1.51,-0.94
"180x90","P0","P5",965,830.00,1.25,3.89,-157.34,77.95       ,-159.89,62.70,14.26,15.47,2.55,15.26,    -157.88,125.39,10.42,0.54,0.54,-47.44
"180x90","P0","P6",965,771.00,1.17,3.32,-92.66,73.32       ,-89.50,58.65,29.64,15.01,-3.16,14.67,    -93.52,74.83,13.66,0.86,0.86,-1.51
"180x90","P0","P6",965,713.00,1.09,3.32,-93.18,73.57       ,-91.51,121.35,25.22,47.80,-1.67,-47.78,    -93.52,62.70,19.37,0.34,0.34,10.88
"180x90","P0","P6",983,722.00,1.09,3.36,-92.73,73.37       ,-89.50,58.65,32.43,15.07,-3.24,14.71,    -93.52,111.24,22.01,0.79,0.79,-37.87
"180x90","P0","P6",983,732.00,1.11,3.49,-93.00,73.42       ,-87.49,52.58,30.22,21.55,-5.52,20.84,    -89.50,127.42,21.95,-3.51,-3.51,-53.99
"180x90","P0","P6",965,677.00,1.03,3.49,-92.84,73.45       ,-87.49,52.58,30.77,21.54,-5.36,20.86,    -93.52,115.28,18.64,0.68,0.68,-41.83
"180x90","P0","P7",965,757.00,1.15,3.27,-44.84,78.14       ,-43.24,105.17,21.10,27.08,-1.60,-27.03,    -43.24,105.17,21.10,-1.60,-1.60,-27.03
"180x90","P0","P7",983,753.00,1.14,3.36,-44.67,78.13       ,-43.24,78.88,26.40,1.61,-1.43,-0.74,    -43.24,78.88,26.40,-1.43,-1.43,-0.74
"180x90","P0","P7",965,755.00,1.15,3.46,-44.63,78.16       ,-45.25,101.12,27.67,22.97,0.63,-22.97,    -45.25,101.12,27.67,0.63,0.63,-22.97
"180x90","P0","P7",983,775.00,1.17,3.62,-44.73,78.17       ,-43.24,76.85,24.93,1.99,-1.49,1.31,    -43.24,76.85,24.93,-1.49,-1.49,1.31
"180x90","P0","P7",795.00,1.20,3.78,-44.71,78.17       ,-43.24,76.85,25.40,1.97,-1.47,1.31,    -43.24,76.85,25.40,-1.47,-1.47,1.31
"180x90","P0","P8",965,828.00,1.29,3.49,5.57,72.72       ,-3.02,70.79,22.41,8.80,8.58,1.93,    3.02,97.08,17.22,2.55,2.55,-24.36
"180x90","P0","P8",965,828.00,1.29,3.59,5.59,72.90       ,1.01,103.15,18.71,30.59,4.58,-30.25,    1.01,103.15,18.71,4.58,4.58,-30.25
"180x90","P0","P8",965,829.00,1.28,3.69,5.61,72.92       ,1.01,78.88,21.04,7.53,4.60,-5.95,    1.01,78.88,21.04,4.60,4.60,-5.95
"180x90","P0","P8",983,828.00,1.27,3.78,5.57,72.87       ,-1.01,109.21,16.82,36.94,6.58,-36.35,    1.01,84.94,12.31,4.57,4.57,-12.08
"180x90","P0","P8",965,825.00,1.27,3.87,5.37,72.82       ,-3.02,111.24,24.89,39.32,8.38,-38.42,    3.02,91.01,18.32,2.35,2.35,-18.19
"180x90","P0","P9",9,983,749.00,1.13,3.25,49.71,78.07       ,61.34,139.55,10.42,62.57,-11.63,-61.48,    57.32,123.37,7.92,-7.61,-7.61,-45.30
"180x90","P0","P9",9,965,767.00,1.17,3.40,49.34,78.16       ,65.36,52.58,7.21,30.18,-16.02,25.57,    49.27,147.64,5.58,0.07,0.07,-69.48
